"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Abdelaziz Barrada","Pre-Season","Midfielder","Morocco","Al Jazira","Marseille","Undisclosed",0,"ROE","14/15"
"Sergei Krivets","Pre-Season","Midfielder","Belarus","BATE Borisov","Metz","Undisclosed",0,"ROE","14/15"
"Janis Ikaunieks","Mid-Season","Midfielder","Latvia","FK Liepajas","Metz","Undisclosed",0,"ROE","14/15"
"Florian Sotoca","Mid-Season","Attacker","France","Beziers","Montpellier","Undisclosed",0,"ROE","14/15"
"Eric Abidal","Pre-Season","Defender","France","Monaco","Olympiakos","Undisclosed",0,"ROE","14/15"
"Pajtim Kasami","Pre-Season","Midfielder","Switzerland","Fulham","Olympiakos","Undisclosed",0,"ROE","14/15"
"Alberto Botia","Pre-Season","Defender","Spain","Sevilla","Olympiakos","Undisclosed",0,"ROE","14/15"
"Andrija Lukovic","Pre-Season","Midfielder","Serbia","FK Rad","PSV","Undisclosed",0,"ROE","14/15"
"Hernani","Mid-Season","Midfielder","Cape Verde","Vitoria Guimaraes","Porto","Undisclosed",0,"ROE","14/15"
"Ivan Marcano","Pre-Season","Defender","Spain","Olympiakos","Porto","Undisclosed",0,"ROE","14/15"
"Fallou Diagne","Pre-Season","Defender","Senegal","Freiburg","Rennes","Undisclosed",0,"ROE","14/15"
"Gelson Fernandes","Pre-Season","Midfielder","Switzerland","Freiburg","Rennes","Undisclosed",0,"ROE","14/15"
"Ermir Lenjani","Mid-Season","Defender","Albania","St Gallen","Rennes","Undisclosed",0,"ROE","14/15"
"Jorge Santos","Pre-Season","Attacker","Portugal","Padroense","Sporting Lisbon","Undisclosed",0,"ROE","14/15"
"Aleksandar Pesic","Pre-Season","Attacker","Serbia","Jagodina","Toulouse","Undisclosed",0,"ROE","14/15"
"Majeed Waris","Pre-Season","Attacker","Ghana","Spartak Moscow","Trabzonspor","Undisclosed",0,"ROE","14/15"
"Mike van der Hoorn","Pre-Season","Defender","Netherlands","Utrecht","Ajax","Undisclosed",0,"ROE","13/14"
"Lerin Duarte","Pre-Season","Midfielder","Netherlands","Heracles","Ajax","Undisclosed",0,"ROE","13/14"
"Luis Farina","Pre-Season","Midfielder","Argentina","Racing Club","Benfica","Undisclosed",0,"ROE","13/14"
"Rogelio Funes Mori","Pre-Season","Attacker","Argentina","River Plate","Benfica","Undisclosed",0,"ROE","13/14"
"Lazar Markovic","Pre-Season","Attacker","Serbia","Partizan Belgrade","Benfica","Undisclosed",0,"ROE","13/14"
"Lucas Orban","Pre-Season","Defender","Argentina","Tigre","Bordeaux","Undisclosed",0,"ROE","13/14"
"Renato Civelli","Pre-Season","Defender","Argentina","Nice","Bursaspor","Undisclosed",0,"ROE","13/14"
"Sebastien Frey","Pre-Season","Goalkeeper","France","Genoa","Bursaspor","Undisclosed",0,"ROE","13/14"
"Taye Taiwo","Pre-Season","Defender","Nigeria","AC Milan","Bursaspor","Undisclosed",0,"ROE","13/14"
"Stefan Johansen","Mid-Season","Midfielder","Norway","Stromsgodset","Celtic","Undisclosed",0,"ROE","13/14"
"Nir Biton","Pre-Season","Midfielder","Israel","Ashdod","Celtic","Undisclosed",0,"ROE","13/14"
"Aleksandr Kokorin","Pre-Season","Attacker","Russia","Anzhi","Dinamo Moscow","Undisclosed",0,"ROE","13/14"
"Yuri Zhirkov","Pre-Season","Midfielder","Russia","Anzhi","Dinamo Moscow","Undisclosed",0,"ROE","13/14"
"Alexei Ionov","Pre-Season","Midfielder","Russia","Anzhi","Dinamo Moscow","Undisclosed",0,"ROE","13/14"
"Christopher Samba","Pre-Season","Defender","Congo","Anzhi","Dinamo Moscow","Undisclosed",0,"ROE","13/14"
"Vladimir Gabulov","Pre-Season","Goalkeeper","Russia","Anzhi","Dinamo Moscow","Undisclosed",0,"ROE","13/14"
"Younes Belhanda","Pre-Season","Midfielder","Morocco","Montpellier","Dynamo Kiev","Undisclosed",0,"ROE","13/14"
"Sebastien Corchia","Mid-Season","Defender","France","Sochaux","Lille","Undisclosed",0,"ROE","13/14"
"Abdoulay Diaby","Pre-Season","Attacker","France","Sedan","Lille","Undisclosed",0,"ROE","13/14"
"Mbark Boussoufa","Pre-Season","Midfielder","Morocco","Anzhi","Lokomotiv","Undisclosed",0,"ROE","13/14"
"Lassana Diarra","Pre-Season","Midfielder","France","Anzhi","Lokomotiv Moscow","Undisclosed",0,"ROE","13/14"
"Benjamin Mendy","Pre-Season","Defender","France","Le Havre","Marseille","Undisclosed",0,"ROE","13/14"
"Brice Dja Djedje","Mid-Season","Defender","Ivory Coast","Evian","Marseille","Undisclosed",0,"ROE","13/14"
"Dimitri Payet","Pre-Season","Midfielder","France","Lille","Marseille","Undisclosed",0,"ROE","13/14"
"Alejandro Gomez","Pre-Season","Midfielder","Argentina","Catania","Metalist","Undisclosed",0,"ROE","13/14"
"Lacina Traore","Mid-Season","Attacker","Ivory Coast","Anzhi","Monaco","Undisclosed",0,"ROE","13/14"
"Gaetano Monachello","Pre-Season","Attacker","Italy","Olympiakos","Monaco","Undisclosed",0,"ROE","13/14"
"Nicolas Saint-Ruf","Mid-Season","Defender","France","Lens","Montpellier","Undisclosed",0,"ROE","13/14"
"Gunnar Nielsen","Pre-Season","Goalkeeper","Faroe Islands","Silkeborg","Motherwell","Undisclosed",0,"ROE","13/14"
"Fraser Kerr","Pre-Season","Defender","Scotland","Birmingham","Motherwell","Undisclosed",0,"ROE","13/14"
"Kian Hansen","Mid-Season","Defender","Denmark","Esbjerg","Nantes","Undisclosed",0,"ROE","13/14"
"Santiago Arias","Pre-Season","Defender","Colombia","Sporting Lisbon","PSV Eindhoven","Undisclosed",0,"ROE","13/14"
"Stijn Schaars","Pre-Season","Midfielder","Netherlands","Sporting Lisbon","PSV Eindhoven","Undisclosed",0,"ROE","13/14"
"Adam Maher","Pre-Season","Attacker","Netherlands","AZ Alkmaar","PSV Eindhoven","Undisclosed",0,"ROE","13/14"
"Jeffrey Bruma","Pre-Season","Defender","Netherlands","Chelsea","PSV Eindhoven","Undisclosed",0,"ROE","13/14"
"Marcus Berg","Pre-Season","Attacker","Sweden","Hamburg","Panathinaikos","Undisclosed",0,"ROE","13/14"
"Josue Pesqueira","Pre-Season","Midfielder","Portugal","Pacos Ferreira","Porto","Undisclosed",0,"ROE","13/14"
"Luis Carneiro","Pre-Season","Attacker","Portugal","Estoril","Porto","Undisclosed",0,"ROE","13/14"
"Eliran Atar","Pre-Season","Attacker","Israel","Maccabi Tel Aviv","Reims","Undisclosed",0,"ROE","13/14"
"Sylvain Armand","Pre-Season","Defender","France","PSG","Rennes","Undisclosed",0,"ROE","13/14"
"Paul-Georges Ntep","Mid-Season","Attacker","France","Auxerre","Rennes","Undisclosed",0,"ROE","13/14"
"Yohan Mollo","Pre-Season","Midfielder","France","Nancy","Saint Etienne","Undisclosed",0,"ROE","13/14"
"Abel Aguilar","Pre-Season","Midfielder","Colombia","Hercules","Toulouse","Undisclosed",0,"ROE","13/14"
"Dusan Veskovac","Mid-Season","Defender","Serbia","Young Boys","Toulouse","Undisclosed",0,"ROE","13/14"
"Uros Djurdjevic","Mid-Season","Attacker","Serbia","FK Rad","Vitesse","Undisclosed",0,"ROE","13/14"
"Ronald Zubar","Mid-Season","Defender","France","Wolverhampton","Ajaccio","Undisclosed",0,"ROE","12/13"
"Dennis Oliech","Mid-Season","Attacker","Kenya","Auxerre","Ajaccio","Undisclosed",0,"ROE","12/13"
"Diego Rolan","Mid-Season","Attacker","Uruguay","Defensor Sporting","Bordeaux","Undisclosed",0,"ROE","12/13"
"Vagner Love","Mid-Season","Attacker","Brazil","Flamengo","CSKA Moscow","Undisclosed",0,"ROE","12/13"
"Joris Mathijsen","Pre-Season","Defender","Netherlands","Malaga","Feyenoord","Undisclosed",0,"ROE","12/13"
"Marcel Gecov","Pre-Season","Midfielder","Czech Republic","Fulham","Gent","Undisclosed",0,"ROE","12/13"
"Djibril Sidibe","Pre-Season","Defender","France","Troyes","Lille","Undisclosed",0,"ROE","12/13"
"Dame NDoye","Pre-Season","Attacker","Senegal","FC Copenhagen","Lok. Moscow","Undisclosed",0,"ROE","12/13"
"Fabian Monzon","Pre-Season","Defender","Argentina","Nice","Lyon","Undisclosed",0,"ROE","12/13"
"Brice Samba","Mid-Season","Goalkeeper","Congo","Le Havre","Marseille","Undisclosed",0,"ROE","12/13"
"Gaetan Charbonnier","Pre-Season","Attacker","France","Angers","Montpellier","Undisclosed",0,"ROE","12/13"
"Emanuel Herrera","Pre-Season","Attacker","Argentina","Union Espanola","Montpellier","Undisclosed",0,"ROE","12/13"
"Jeremy Pied","Pre-Season","Midfielder","France","Lyon","Nice","Undisclosed",0,"ROE","12/13"
"Leandro Greco","Pre-Season","Midfielder","Italy","Roma","Olympiakos","Undisclosed",0,"ROE","12/13"
"Marat Izmailov","Mid-Season","Midfielder","Russia","Sporting Lisbon","Porto","Undisclosed",0,"ROE","12/13"
"Eden Ben Basat","Mid-Season","Attacker","Israel","Brest","Toulouse","Undisclosed",0,"ROE","12/13"
"Robbert Schilder","Pre-Season","Midfielder","Netherlands","NAC Breda","Twente","Undisclosed",0,"ROE","12/13"
"Eidur Gudjohnsen","Pre-Season","Attacker","Iceland","Stoke","AEK Athen","Undisclosed",0,"ROE","11/12"
"Mattias Johansson","Mid-Season","Defender","Sweden","Kalmar FF","AZ Alkmaar","Undisclosed",0,"ROE","11/12"
"Guillermo Ochoa","Pre-Season","Goalkeeper","Mexico","America","Ajaccio","Undisclosed",0,"ROE","11/12"
"Derk Boerrigter","Pre-Season","Midfielder","Netherlands","Waalwijk","Ajax","Undisclosed",0,"ROE","11/12"
"Kolbeinn Sigthorsson","Pre-Season","Attacker","Iceland","AZ Alkmaar","Ajax","Undisclosed",0,"ROE","11/12"
"Thulani Serero","Pre-Season","Midfielder","South Africa","Cape Town","Ajax","Undisclosed",0,"ROE","11/12"
"Milan Jovanovic","Pre-Season","Midfielder","Serbia","Liverpool","Anderlecht","Undisclosed",0,"ROE","11/12"
"Yuri Zhirkov","Pre-Season","Midfielder","Russia","Chelsea","Anzhi","Undisclosed",0,"ROE","11/12"
"David Yelldell","Pre-Season","Goalkeeper","USA","Duisburg","Bayer Leverkusen","Undisclosed",0,"Bundesliga","11/12"
"Dale Jennings","Pre-Season","Attacker","England","Tranmere","Bayern Munich","Undisclosed",0,"Bundesliga","11/12"
"Rafinha","Pre-Season","Defender","Brazil","Genoa","Bayern Munich","Undisclosed",0,"Bundesliga","11/12"
"Manuel Neuer","Pre-Season","Goalkeeper","Germany","Schalke","Bayern Munich","Undisclosed",0,"Bundesliga","11/12"
"Jerome Boateng","Pre-Season","Defender","Germany","Manchester City","Bayern Munich","Undisclosed",0,"Bundesliga","11/12"
"Joan Capdevila","Pre-Season","Defender","Spain","Villarreal","Benfica","Undisclosed",0,"ROE","11/12"
"Axel Witsel","Pre-Season","Midfielder","Belgium","Standard Liege","Benfica","Undisclosed",0,"ROE","11/12"
"Ezequiel Garay","Pre-Season","Defender","Argentina","Real Madrid","Benfica","Undisclosed",0,"ROE","11/12"
"Ivan Perisic","Pre-Season","Midfielder","Croatia","Club Brugge","Bor. Dortmund","Undisclosed",0,"ROE","11/12"
"Ludovic Obraniak","Mid-Season","Midfielder","Poland","Lille","Bordeaux","Undisclosed",0,"ROE","11/12"
"Ahmed Musa","Mid-Season","Midfielder","Nigeria","VVV Venlo","CSKA Moscow","Undisclosed",0,"ROE","11/12"
"Victor Wanyama","Pre-Season","Midfielder","Kenya","Germinal Beerschot","Celtic","Undisclosed",0,"ROE","11/12"
"Younousse Sankhare","Pre-Season","Midfielder","France","Paris S-G","Dijon","Undisclosed",0,"ROE","11/12"
"Daisuke Matsui","Pre-Season","Midfielder","Japan","Grenoble","Dijon","Undisclosed",0,"ROE","11/12"
"Domagoj Vida","Pre-Season","Defender","Croatia","Bayer Leverkusen","Dinamo Zagreb","Undisclosed",0,"ROE","11/12"
"Nikola Kalinic","Pre-Season","Attacker","Croatia","Blackburn","Dnipro","Undisclosed",0,"ROE","11/12"
"Kris Boyd","Pre-Season","Attacker","Scotland","Middlesbrough","Eskisehirspor","Undisclosed",0,"ROE","11/12"
"Sidney Govou","Pre-Season","Attacker","France","Panathinaikos","Evian","Undisclosed",0,"ROE","11/12"
"Christian Poulsen","Pre-Season","Midfielder","Denmark","Liverpool","Evian","Undisclosed",0,"ROE","11/12"
"Radoslav Kovac","Pre-Season","Midfielder","Czech Rep.","West Ham","FC Basel","Undisclosed",0,"ROE","11/12"
"Marcus Nilsson","Pre-Season","Defender","Sweden","Helsingborg","FC Utrecht","Undisclosed",0,"ROE","11/12"
"Alexander Gerndt","Pre-Season","Attacker","Sweden","Helsingborg","FC Utrecht","Undisclosed",0,"ROE","11/12"
"Garra Dembele","Pre-Season","Attacker","Mali","Levski Sofia","Freiburg","Undisclosed",0,"ROE","11/12"
"Sebastian Freis","Mid-Season","Attacker","Germany","Koln","Freiburg","Undisclosed",0,"ROE","11/12"
"Fernando Muslera","Pre-Season","Goalkeeper","Uruguay","Lazio","Galatasaray","Undisclosed",0,"ROE","11/12"
"Michael Mancienne","Pre-Season","Defender","England","Chelsea","Hamburg","Undisclosed",0,"ROE","11/12"
"Gokhan Tore","Pre-Season","Midfielder","Turkey","Chelsea","Hamburg","Undisclosed",0,"ROE","11/12"
"Slobodan Rajkovic","Pre-Season","Defender","Serbia","Chelsea","Hamburg","Undisclosed",0,"ROE","11/12"
"Per Ciljan Skjelbred","Pre-Season","Midfielder","Norway","Rosenborg","Hamburg","Undisclosed",0,"ROE","11/12"
"Jacopo Sala","Pre-Season","Midfielder","Italy","Chelsea","Hamburg","Undisclosed",0,"ROE","11/12"
"Daniel Royer","Pre-Season","Midfielder","Austria","SV Ried","Hannover","Undisclosed",0,"ROE","11/12"
"Callum Tapping","Pre-Season","Midfielder","Scotland","Tottenham","Hearts","Undisclosed",0,"ROE","11/12"
"Felix Bastians","Mid-Season","Defender","Germany","Freiburg","Hertha","Undisclosed",0,"ROE","11/12"
"Michael Gregoritsch","Pre-Season","Midfielder","Austria","Kapfenberger SV","Hoffenheim","Undisclosed",0,"ROE","11/12"
"Koen Casteels","Pre-Season","Goalkeeper","Belgium","Genk","Hoffenheim","Undisclosed",0,"ROE","11/12"
"Constantinos Fortounis","Pre-Season","Midfielder","Greece","Asteras","Kaiserslautern","Undisclosed",0,"ROE","11/12"
"Jong Tae-Se","Mid-Season","Attacker","North Korea","Bochum","Koln","Undisclosed",0,"ROE","11/12"
"Ronny Rodelin","Pre-Season","Attacker","France","Nantes","Lille","Undisclosed",0,"ROE","11/12"
"John Jairo Ruiz","Mid-Season","Attacker","Costa Rica","Deportivo Saprissa","Lille","Undisclosed",0,"ROE","11/12"
"Marko Basa","Pre-Season","Defender","Montenegro","Lok. Moscow","Lille","Undisclosed",0,"ROE","11/12"
"Manuel da Costa","Pre-Season","Defender","Portugal","West Ham","Lok. Moscow","Undisclosed",0,"ROE","11/12"
"Lamine Gassama","Mid-Season","Defender","Senegal","Lyon","Lorient","Undisclosed",0,"ROE","11/12"
"Cheick Toure","Pre-Season","Defender","Ivory Coast","Fulham","Lorient","Undisclosed",0,"ROE","11/12"
"Anthony Ujah","Pre-Season","Attacker","Nigeria","Lillestrom","Mainz","Undisclosed",0,"ROE","11/12"
"Julian Baumgartlinger","Pre-Season","Midfielder","Austria","Austria Vienna","Mainz","Undisclosed",0,"ROE","11/12"
"Malik Fathi","Pre-Season","Defender","Germany","Spartak Moscow","Mainz","Undisclosed",0,"ROE","11/12"
"Mohamed Zidan","Mid-Season","Attacker","Egypt","Borussia Dortmund","Mainz","Undisclosed",0,"ROE","11/12"
"Didier Digard","Pre-Season","Midfielder","France","Middlesbrough","Nice","Undisclosed",0,"ROE","11/12"
"Alou Diarra","Pre-Season","Midfielder","France","Bordeaux","Olymp. Marseille","Undisclosed",0,"ROE","11/12"
"Gennaro Bracigliano","Pre-Season","Goalkeeper","France","Nancy","Olymp. Marseille","Undisclosed",0,"ROE","11/12"
"Roy Carroll","Mid-Season","Goalkeeper","Northern Ireland","OFI Crete","Olympiakos","Undisclosed",0,"ROE","11/12"
"Salvatore Sirigu","Pre-Season","Goalkeeper","Italy","Palerma","PSG","Undisclosed",0,"ROE","11/12"
"Mohamed Sissoko","Pre-Season","Midfielder","Mali","Juventus","PSG","Undisclosed",0,"ROE","11/12"
"Milan Bisevac","Pre-Season","Defender","Serbia","Valenciennes","PSG","Undisclosed",0,"ROE","11/12"
"Georginio Wijnaldum","Pre-Season","Midfielder","Netherlands","Feyenoord","PSV","Undisclosed",0,"ROE","11/12"
"Dries Mertens","Pre-Season","Midfielder","Belgium","Utrecht","PSV","Undisclosed",0,"ROE","11/12"
"Kevin Strootman","Pre-Season","Midfielder","Netherlands","Utrecht","PSV","Undisclosed",0,"ROE","11/12"
"Dorin Goian","Pre-Season","Defender","Romania","Palermo","Rangers","Undisclosed",0,"ROE","11/12"
"Juan Manuel Ortiz","Pre-Season","Midfielder","Spain","Almeria","Rangers","Undisclosed",0,"ROE","11/12"
"Alejandro Bedoya","Pre-Season","Midfielder","USA","Orebro","Rangers","Undisclosed",0,"ROE","11/12"
"Carlos Bocanegra","Pre-Season","Defender","USA","St Etienne","Rangers","Undisclosed",0,"ROE","11/12"
"Fantamady Diarra","Pre-Season","Midfielder","Mali","Stade Malien","Rennes","Undisclosed",0,"ROE","11/12"
"Andre Bahia","Pre-Season","Defender","Brazil","Feyenoord","Samsunspor","Undisclosed",0,"ROE","11/12"
"Teemu Pukki","Pre-Season","Attacker","Finland","HJK Helsinki","Schalke","Undisclosed",0,"ROE","11/12"
"Roman Neustadter","Mid-Season","Midfielder","Germany","Bor. Mgladbach","Schalke","Undisclosed",0,"ROE","11/12"
"Yaya Banana","Mid-Season","Defender","Cameroon","Esperance","Sochaux","Undisclosed",0,"ROE","11/12"
"Sebastien Corchia","Pre-Season","Defender","France","Le Mans","Sochaux","Undisclosed",0,"ROE","11/12"
"Valeri Bojinov","Pre-Season","Attacker","Bulgaria","Parma","Sporting Lisbon","Undisclosed",0,"ROE","11/12"
"Emiliano Insua","Pre-Season","Defender","Argentina","Liverpool","Sporting Lisbon","Undisclosed",0,"ROE","11/12"
"Fabien Lemoine","Pre-Season","Midfielder","France","Rennes","St Etienne","Undisclosed",0,"ROE","11/12"
"Danijel Aleksic","Mid-Season","Attacker","Serbia","Genoa","St Etienne","Undisclosed",0,"ROE","11/12"
"Max Gradel","Pre-Season","Midfielder","Ivory Coast","Leeds","St Etienne","Undisclosed",0,"ROE","11/12"
"Francisco J. Rodriguez","Pre-Season","Defender","Mexico","PSV","Stuttgart","Undisclosed",0,"ROE","11/12"
"Serge Aurier","Mid-Season","Defender","France","Lens","Toulouse","Undisclosed",0,"ROE","11/12"
"Marek Cech","Pre-Season","Defender","Slovakia","West Bromwich","Trabzonspor","Undisclosed",0,"ROE","11/12"
"Mehmet Ekici","Pre-Season","Midfielder","Turkey","Bayern Munich","Werder Bremen","Undisclosed",0,"ROE","11/12"
"Slobodan Medojevic","Mid-Season","Midfielder","Serbia","Vojvodina Novi","Wolfsburg","Undisclosed",0,"ROE","11/12"
"Sotirios Kyrgiakos","Pre-Season","Defender","Greece","Liverpool","Wolfsburg","Undisclosed",0,"ROE","11/12"
"Ferhan Hasani","Mid-Season","Attacker","Macedonia","Shkendija Tetovo","Wolfsburg","Undisclosed",0,"ROE","11/12"
"Petr Jiracek","Mid-Season","Midfielder","Czech Rep.","Viktoria Plzen","Wolfsburg","Undisclosed",0,"ROE","11/12"
"Vieirinha","Mid-Season","Attacker","Portugal","PAOK Salonika","Wolfsburg","Undisclosed",0,"ROE","11/12"
"Domenico Criscito","Pre-Season","Defender","Italy","Genoa","Zenit S-P","Undisclosed",0,"ROE","11/12"
"Papa Bouba Diop","Pre-Season","Midfielder","Senegal","Portsmouth","AEK Athens","Undisclosed",0,"ROE","10/11"
"Nacer Barazite","Mid-Season","Midfielder","Netherlands","Arsenal","Austria Wien","Undisclosed",0,"ROE","10/11"
"Hajime Hosogai","Mid-Season","Midfielder","Japan","Urawa RD","Bayer Leverkusen","Undisclosed",0,"Bundesliga","10/11"
"Nicolai Jorgensen","Pre-Season","Attacker","Denmark","AB","Bayer Leverkusen","Undisclosed",0,"Bundesliga","10/11"
"Jong Tae-Se","Pre-Season","Attacker","Japan","Kawasaki Frontale","Bochum","Undisclosed",0,"ROE","10/11"
"Shinji Kagawa","Pre-Season","Midfielder","Japan","Cerezo Osaka","Bor. Dortmund","Undisclosed",0,"ROE","10/11"
"Havard Nordtveit","Mid-Season","Defender","Norway","Arsenal","Bor. Mgladbach","Undisclosed",0,"ROE","10/11"
"Martin Stranzl","Mid-Season","Defender","Austria","Spartak Moscow","Bor. Mgladbach","Undisclosed",0,"ROE","10/11"
"Vujadin Savic","Pre-Season","Defender","Serbia","Red Star","Bordeaux","Undisclosed",0,"ROE","10/11"
"Ben Khalfallah","Pre-Season","Midfielder","France","Valenciennes","Bordeaux","Undisclosed",0,"ROE","10/11"
"Marco Ramos","Mid-Season","Defender","Portugal","Lens","Braga","Undisclosed",0,"ROE","10/11"
"Zoran Tosic","Pre-Season","Midfielder","Serbia","Manchester United","CSKA Moscow","Undisclosed",0,"ROE","10/11"
"Efrain Juarez","Pre-Season","Defender","Mexico","UNAM Pumas","Celtic","Undisclosed",0,"ROE","10/11"
"Joe Ledley","Pre-Season","Midfielder","Wales","Cardiff City","Celtic","Undisclosed",0,"ROE","10/11"
"Anthony Stokes","Pre-Season","Attacker","Ireland","Hibernian","Celtic","Undisclosed",0,"ROE","10/11"
"Daniel Majstorovic","Pre-Season","Defender","Sweden","AEK Athens","Celtic","Undisclosed",0,"ROE","10/11"
